trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.975, 'e': 0.085792183805479}",30,19,24.475361754981563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.975, 'e': 0.08364737921034202}",20,1,30.12529951493551,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.975, 'e': 0.08155619473008346}",25,6,32.179387278277865,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.975, 'e': 0.07951728986183138}",25,2,29.377823840917646,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.975, 'e': 0.0775293576152856}",30,13,27.08859082268894,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.975, 'e': 0.07559112367490345}",25,19,-10.955964355368888,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.975, 'e': 0.07370134558303086}",25,14,-2.716938916075655,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.975, 'e': 0.07185881194345509}",20,0,31.921013759540738,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.975, 'e': 0.07006234164486871}",20,3,-27.10090357788469,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.975, 'e': 0.068310783103747}",30,18,4.651839555093126,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.975, 'e': 0.06660301352615332}",20,8,-18.958885570266283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.975, 'e': 0.06493793818799948}",20,14,8.386479596105522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.975, 'e': 0.06331448973329949}",30,10,28.178013300821444,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.975, 'e': 0.061731627489967}",30,12,31.231137465358284,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.975, 'e': 0.060188336802717825}",20,11,17.3341839007764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.975, 'e': 0.05868362838264988}",35,0,46.546619532637486,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.975, 'e': 0.05721653767308363}",20,12,14.568336992518908,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.975, 'e': 0.055786124231256534}",25,19,10.138952049447477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.975, 'e': 0.05439147112547512}",20,10,17.74871188925255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.975, 'e': 0.053031684347338244}",25,13,23.791482637220156,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.975, 'e': 0.05170589223865479}",20,0,31.33005405733219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.975, 'e': 0.050413244932688416}",25,13,-18.935694683914303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.975, 'e': 0.0491529138093712}",20,0,32.593443499938104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.975, 'e': 0.04792409096413692}",30,11,22.495916125220322,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.975, 'e': 0.04672598869003349}",20,14,13.443853060854169,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.975, 'e': 0.045557838972782656}",20,16,9.250637973144967,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.975, 'e': 0.04441889299846309}",25,16,16.439488939913417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
